"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Brood Year YYYY","Rear Type Code","Rear Type Name","First Obs Date Max","Last Obs Date Min"
"3DD.003E11B377","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
"3DD.003E11B37A","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/16/2022","04/16/2022"
"3DD.003E11B380","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B382","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B388","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/17/2022","04/17/2022"
"3DD.003E11B38E","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B390","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B391","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B398","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B39C","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/13/2022","04/13/2022"
"3DD.003E11B3A3","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/15/2022","04/15/2022"
"3DD.003E11B3A6","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/14/2022","04/14/2022"
"3DD.003E11B3AA","ENL - Lower Entiat River","4/13/2022","1","Chinook","2","Summer","2020","H","Hatchery Reared","04/18/2022","04/18/2022"
